2022-08-21 15:12:11,687 INFO    MainThread:15528 [wandb_setup.py:_flush():76] Configure stats pid to 15528
2022-08-21 15:12:11,688 INFO    MainThread:15528 [wandb_setup.py:_flush():76] Loading settings from /Users/Alex/.config/wandb/settings
2022-08-21 15:12:11,688 INFO    MainThread:15528 [wandb_setup.py:_flush():76] Loading settings from /Users/Alex/Documents/naya_studios/pretrained_models/pretrained_model1/dalle_playground/dalle-playground/backend/wandb/settings
2022-08-21 15:12:11,688 INFO    MainThread:15528 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True', 'silent': 'true'}
2022-08-21 15:12:11,688 INFO    MainThread:15528 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'backend/app.py', 'program': 'app.py'}
2022-08-21 15:12:11,688 INFO    MainThread:15528 [wandb_setup.py:_flush():76] Applying login settings: {'anonymous': 'must'}
2022-08-21 15:12:11,688 INFO    MainThread:15528 [wandb_init.py:_log_setup():461] Logging user logs to /Users/Alex/Documents/naya_studios/pretrained_models/pretrained_model1/dalle_playground/dalle-playground/backend/wandb/run-20220821_151211-2yrzks26/logs/debug.log
2022-08-21 15:12:11,688 INFO    MainThread:15528 [wandb_init.py:_log_setup():462] Logging internal logs to /Users/Alex/Documents/naya_studios/pretrained_models/pretrained_model1/dalle_playground/dalle-playground/backend/wandb/run-20220821_151211-2yrzks26/logs/debug-internal.log
2022-08-21 15:12:11,689 INFO    MainThread:15528 [wandb_init.py:init():495] calling init triggers
2022-08-21 15:12:11,689 INFO    MainThread:15528 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-08-21 15:12:11,689 INFO    MainThread:15528 [wandb_init.py:init():548] starting backend
2022-08-21 15:12:11,689 INFO    MainThread:15528 [wandb_init.py:init():552] setting up manager
2022-08-21 15:12:11,692 INFO    MainThread:15528 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-08-21 15:12:11,696 INFO    MainThread:15528 [wandb_init.py:init():558] backend started and connected
2022-08-21 15:12:11,700 INFO    MainThread:15528 [wandb_init.py:init():636] updated telemetry
2022-08-21 15:12:11,730 INFO    MainThread:15528 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-08-21 15:12:12,208 INFO    MainThread:15528 [wandb_run.py:_on_init():1982] communicating current version
2022-08-21 15:12:12,352 INFO    MainThread:15528 [wandb_run.py:_on_init():1986] got version response 
2022-08-21 15:12:12,352 INFO    MainThread:15528 [wandb_init.py:init():700] starting run threads in backend
2022-08-21 15:12:12,424 INFO    MainThread:15528 [wandb_run.py:_console_start():1962] atexit reg
2022-08-21 15:12:12,425 INFO    MainThread:15528 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-08-21 15:12:12,425 INFO    MainThread:15528 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-08-21 15:12:12,425 INFO    MainThread:15528 [wandb_run.py:_redirect():1907] Redirects installed.
2022-08-21 15:12:12,426 INFO    MainThread:15528 [wandb_init.py:init():732] run started, returning control to user process
